"OrigZoneNo","DestZoneNo","HBU_PA"
8379,"8384",56.7757824525398
8380,"8384",38.846587993843
8386,"8384",2.98819907644946
8368,"8384",113.55156490508
8384,"8384",65.7403796818881
8371,"8384",25.3996921498204
8390,"8384",85.1636736788096
8395,"8384",35.8583889173935
8392,"8384",180.786044125192
8389,"8384",40.3406875320677
8394,"8384",5.97639815289892
8382,"8384",22.411493073371
8397,"8384",126.998460749102
8358,"8384",31.3760903027193
8353,"8384",40.3406875320677
8343,"8384",38.846587993843
8345,"8384",25.3996921498204
8325,"8384",35.8583889173935
8347,"8384",13.4468958440226
8375,"8384",74.7049769112365
8349,"8384",28.3878912262699
8333,"8384",32.8701898409441
8352,"8384",32.8701898409441
8374,"8384",17.9291944586968
8367,"8384",71.7167778347871
8341,"8384",53.7875833760903
8356,"8384",20.9173935351462
8348,"8384",52.2934838378656
8359,"8384",56.7757824525398
8346,"8384",7.47049769112365
8363,"8384",17.9291944586968
8337,"8384",14.9409953822473
8362,"8384",46.3170856849666
8330,"8384",10.4586967675731
8318,"8384",13.4468958440226
8311,"8384",20.9173935351462
8329,"8384",2.98819907644946
8328,"8384",13.4468958440226
8388,"8384",5.97639815289892
8393,"8384",28.3878912262699
8391,"8384",28.3878912262699
8310,"8384",65.7403796818882
8316,"8384",10.4586967675731
8332,"8384",13.4468958440226
8304,"8384",73.2108773730118
8364,"8384",124.010261672653
8335,"8384",23.9055926115957
8321,"8384",19.4232939969215
8338,"8384",104.586967675731
8340,"8384",61.258081067214
8360,"8384",94.128270908158
8376,"8384",79.1872755259107
8268,"8384",159.868650590046
8273,"8384",31.3760903027193
8254,"8384",38.846587993843
8278,"8384",52.2934838378656
8281,"8384",2.98819907644946
8282,"8384",173.315546434069
8301,"8384",161.362750128271
8291,"8384",86.6577732170344
8298,"8384",17.9291944586968
8271,"8384",91.1400718317086
8299,"8384",64.2462801436634
8283,"8384",1.49409953822473
8257,"8384",10.4586967675731
8253,"8384",5.97639815289892
8272,"8384",10.4586967675731
8248,"8384",49.3052847614161
8238,"8384",17.9291944586968
8247,"8384",28.3878912262699
8290,"8384",61.258081067214
8302,"8384",31.3760903027193
8288,"8384",124.010261672653
8294,"8384",25.3996921498204
8279,"8384",77.693175987686
8308,"8384",177.797845048743
8334,"8384",55.281682914315
8314,"8384",11.9527963057978
8284,"8384",7.47049769112365
8336,"8384",47.8111852231914
8303,"8384",89.6459722934839
8313,"8384",106.081067213956
8305,"8384",38.846587993843
8319,"8384",20.9173935351462
8322,"8384",134.468958440226
8326,"8384",104.586967675731
8285,"8384",2.98819907644946
8300,"8384",5.97639815289892
8355,"8384",1.49409953822473
8342,"8384",1.49409953822473
8312,"8384",35.8583889173935
8293,"8384",11.9527963057978
8350,"8384",11.9527963057978
8296,"8384",5.97639815289892
8307,"8384",7.47049769112365
8292,"8384",31.3760903027193
8315,"8384",19.4232939969215
8265,"8384",2.98819907644946
8256,"8384",13.4468958440226
8251,"8384",1.49409953822473
8259,"8384",11.9527963057978
8262,"8384",1.49409953822473
8250,"8384",1.49409953822473
8252,"8384",13.4468958440226
8258,"8384",16.435094920472
8267,"8384",16.435094920472
8263,"8384",22.411493073371
8240,"8384",2.98819907644946
8221,"8384",2.98819907644946
8218,"8384",8.96459722934838
8255,"8384",110.56336582863
8209,"8384",16.435094920472
8211,"8384",26.8937916880452
8208,"8384",7.47049769112365
8213,"8384",23.9055926115957
8210,"8384",26.8937916880452
8215,"8384",17.9291944586968
8216,"8384",14.9409953822473
8217,"8384",5.97639815289892
8232,"8384",1.49409953822473
8219,"8384",29.8819907644946
8220,"8384",20.9173935351462
8237,"8384",22.411493073371
8222,"8384",14.9409953822473
8223,"8384",7.47049769112365
8224,"8384",4.48229861467419
8225,"8384",10.4586967675731
8242,"8384",1.49409953822473
8229,"8384",7.47049769112365
8245,"8384",59.7639815289892
8235,"8384",5.97639815289892
8236,"8384",4.48229861467419
8201,"8384",40.3406875320677
8202,"8384",2.98819907644946
8203,"8384",1.49409953822473
8204,"8384",1.49409953822473
8227,"8384",2.98819907644946
8206,"8384",4.48229861467419
8212,"8384",1.49409953822473
8205,"8384",7.47049769112365
8230,"8384",1.49409953822473
8241,"8346",4.48229861467419
8239,"8346",4.48229861467419
